ci95_high,ci95_low,dataset,horizon,mean,metric,model,paper_value,seeds,std
0.3194330075320664,0.3194330075320664,Traffic,96,0.3194330075320664,mae,VPNet,0.3194,1,0.0
0.4899475157234075,0.4899475157234075,Traffic,192,0.4899475157234075,mse,VPNet,0.4899,1,0.0
0.32738889789651365,0.32738889789651365,Traffic,192,0.32738889789651365,mae,VPNet,0.3274,1,0.0
0.4961930676883378,0.4961930676883378,Traffic,336,0.4961930676883378,mse,VPNet,0.4962,1,0.0
0.3303995092034247,0.3303995092034247,Traffic,336,0.3303995092034247,mae,VPNet,0.3304,1,0.0
0.5286068472135281,0.5286068472135281,Traffic,720,0.5286068472135281,mse,VPNet,0.5286,1,0.0
0.3482940891755476,0.3482940891755476,Traffic,720,0.3482940891755476,mae,VPNet,0.3483,1,0.0
0.3926295484366902,0.3926295484366902,ETTh1,96,0.3926295484366902,mse,xCPD,0.3926,1,0.0
0.40684259795751226,0.40684259795751226,ETTh1,96,0.40684259795751226,mae,xCPD,0.4068,1,0.0
0.45014077450230183,0.45014077450230183,ETTh1,192,0.45014077450230183,mse,xCPD,0.4501,1,0.0
0.4448829856512767,0.4448829856512767,ETTh1,192,0.4448829856512767,mae,xCPD,0.4449,1,0.0
0.4918613536262637,0.4918613536262637,ETTh1,336,0.4918613536262637,mse,xCPD,0.4919,1,0.0
0.46988895065955916,0.46988895065955916,ETTh1,336,0.46988895065955916,mae,xCPD,0.4699,1,0.0
0.5282969544918992,0.5282969544918992,ETTh1,720,0.5282969544918992,mse,xCPD,0.5283,1,0.0
0.5206712290727282,0.5206712290727282,ETTh1,720,0.5206712290727282,mae,xCPD,0.5207,1,0.0
0.3459299068772162,0.3459299068772162,ETTh2,96,0.3459299068772162,mse,xCPD,0.3459,1,0.0
0.39842095386067794,0.39842095386067794,ETTh2,96,0.39842095386067794,mae,xCPD,0.3984,1,0.0
0.4672639332007791,0.4672639332007791,ETTh2,192,0.4672639332007791,mse,xCPD,0.4673,1,0.0
0.46846962231802214,0.46846962231802214,ETTh2,192,0.46846962231802214,mae,xCPD,0.4685,1,0.0
0.5944708432391982,0.5944708432391982,ETTh2,336,0.5944708432391982,mse,xCPD,0.5945,1,0.0
